# DRAP Tabular Values
# Product: D-Region Absorption         /images/drap2_tab.txt
# Product Valid At : 2026-09-09 03:49 UTC
#
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center.
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov
#
# Estimated Recovery Time : No Estimate
#
#  X-RAY Message : Normal X-ray Background
#
#  X-RAY Warning :  
#
#  Proton Message : Normal Proton Background
#
#  Proton Warning : 
#
# Frequency (MHz) as a function of Latitude and Longitude
#
      -178 -174 -170 -166 -162 -158 -154 -150 -146 -142 -138 -134
----------------------------------------------------------------------
  89 |  0.1  0.1  0.1  0.1  0.1  0.1  0.1  0.1  0.1  0.1  0.1  0.1
  87 |  0.1  0.1  0.1  0.1  0.1  0.1  0.1  0.1  0.1  0.1  0.1  0.1
  85 |  0.1  0.1  0.1  0.1  0.1  0.1  0.1  0.1  0.1  0.1  0.1  0.1
  83 |  0.1  0.1  0.1  0.1  0.1  0.1  0.1  0.1  0.1  0.1  0.1  0.1
  81 |  0.1  0.1  0.1  0.1  0.1  0.1  0.1  0.1  0.1  0.1  0.1  0.1
  79 |  0.1  0.1  0.1  0.1  0.1  0.1  0.1  0.1  0.1  0.1  0.1  0.0
  77 |  0.2  0.1  0.1  0.1  0.1  0.1  0.1  0.1  0.1  0.1  0.1  0.0
  75 |  0.2  0.2  0.1  0.1  0.1  0.1  0.1  0.1  0.1  0.1  0.0  0.0
  73 |  0.2  0.2  0.2  0.1  0.1  0.1  0.1  0.1  0.1  0.1  0.0  0.0
  71 |  0.2  0.2  0.2  0.1  0.1  0.1  0.1  0.1  0.1  0.1  0.0  0.0
  69 |  0.2  0.2  0.2  0.2  0.1  0.1  0.1  0.1  0.1  0.1  0.0  0.0
  67 |  0.2  0.2  0.2  0.2  0.1  0.1  0.1  0.1  0.1  0.0  0.0  0.0
  65 |  0.2  0.2  0.2  0.2  0.1  0.1  0.1  0.1  0.1  0.0  0.0  0.0
  63 |  0.2  0.2  0.2  0.2  0.1  0.1  0.1  0.1  0.1  0.0  0.0  0.0
  61 |  0.2  0.2  0.2  0.2  0.2  0.1  0.1  0.1  0.1  0.0  0.0  0.0
  59 |  0.2  0.2  0.2  0.2  0.2  0.1  0.1  0.1  0.1  0.0  0.0  0.0
  57 |  0.2  0.2  0.2  0.2  0.2  0.1  0.1  0.1  0.1  0.0  0.0  0.0
  55 |  0.2  0.2  0.2  0.2  0.2  0.1  0.1  0.1  0.1  0.0  0.0  0.0
  53 |  0.2  0.2  0.2  0.2  0.2  0.1  0.1  0.1  0.1  0.0  0.0  0.0
  51 |  0.3  0.2  0.2  0.2  0.2  0.1  0.1  0.1  0.1  0.0  0.0  0.0
  49 |  0.3  0.2  0.2  0.2  0.2  0.1  0.1  0.1  0.1  0.0  0.0  0.0
  47 |  0.3  0.2  0.2  0.2  0.2  0.1  0.1  0.1  0.1  0.0  0.0  0.0
  45 |  0.3  0.3  0.2  0.2  0.2  0.2  0.1  0.1  0.1  0.0  0.0  0.0
  43 |  0.3  0.3  0.2  0.2  0.2  0.2  0.1  0.1  0.1  0.0  0.0  0.0
  41 |  0.3  0.3  0.2  0.2  0.2  0.2  0.1  0.1  0.0  0.0  0.0  0.0
  39 |  0.3  0.3  0.2  0.2  0.2  0.2  0.1  0.1  0.0  0.0  0.0  0.0
  37 |  0.3  0.3  0.2  0.2  0.2  0.2  0.1  0.1  0.0  0.0  0.0  0.0
  35 |  0.3  0.3  0.2  0.2  0.2  0.2  0.1  0.1  0.0  0.0  0.0  0.0
  33 |  0.3  0.3  0.2  0.2  0.2  0.2  0.1  0.1  0.0  0.0  0.0  0.0
  31 |  0.3  0.3  0.2  0.2  0.2  0.2  0.1  0.1  0.0  0.0  0.0  0.0
  29 |  0.3  0.3  0.3  0.2  0.2  0.2  0.1  0.1  0.0  0.0  0.0  0.0
  27 |  0.3  0.3  0.3  0.2  0.2  0.2  0.1  0.1  0.0  0.0  0.0  0.0
  25 |  0.3  0.3  0.3  0.2  0.2  0.2  0.1  0.1  0.0  0.0  0.0  0.0
  23 |  0.3  0.3  0.3  0.2  0.2  0.2  0.1  0.1  0.0  0.0  0.0  0.0
  21 |  0.3  0.3  0.3  0.2  0.2  0.2  0.1  0.1  0.0  0.0  0.0  0.0
  19 |  0.3  0.3  0.3  0.2  0.2  0.2  0.1  0.1  0.0  0.0  0.0  0.0
  17 |  0.3  0.3  0.3  0.2  0.2  0.2  0.1  0.1  0.0  0.0  0.0  0.0
  15 |  0.3  0.3  0.3  0.2  0.2  0.2  0.1  0.1  0.0  0.0  0.0  0.0
  13 |  0.3  0.3  0.3  0.2  0.2  0.2  0.1  0.1  0.0  0.0  0.0  0.0
  11 |  0.3  0.3  0.3  0.2  0.2  0.2  0.1  0.1  0.0  0.0  0.0  0.0
   9 |  0.3  0.3  0.3  0.2  0.2  0.2  0.1  0.1  0.0  0.0  0.0  0.0
   7 |  0.3  0.3  0.3  0.2  0.2  0.2  0.1  0.1  0.0  0.0  0.0  0.0
   5 |  0.3  0.3  0.3  0.2  0.2  0.2  0.1  0.1  0.0  0.0  0.0  0.0
   3 |  0.3  0.3  0.3  0.2  0.2  0.2  0.1  0.1  0.0  0.0  0.0  0.0
   1 |  0.3  0.3  0.3  0.2  0.2  0.1  0.1  0.1  0.0  0.0  0.0  0.0
  -1 |  0.3  0.3  0.3  0.2  0.2  0.1  0.1  0.1  0.0  0.0  0.0  0.0
  -3 |  0.3  0.3  0.3  0.2  0.2  0.1  0.1  0.1  0.0  0.0  0.0  0.0
  -5 |  0.3  0.3  0.3  0.2  0.2  0.1  0.1  0.1  0.0  0.0  0.0  0.0
  -7 |  0.3  0.3  0.2  0.2  0.2  0.1  0.1  0.0  0.0  0.0  0.0  0.0
  -9 |  0.3  0.3  0.2  0.2  0.2  0.1  0.1  0.0  0.0  0.0  0.0  0.0
